,MarketCap,Returns
AAPL,3688676720640.0,-0.001138993520771736
NVDA,3292190474240.0,-0.04053963250179782
MSFT,3034624819200.0,-0.019032545922673227
AMZN,2295249764352.0,-0.028266344731418536
GOOG,2200604246016.0,-0.027111002867236333
GOOGL,2200601362432.0,-0.02654959883670749
META,1731883171840.0,-0.01624840053270049
TSLA,1086540414976.0,-0.046839747148427646
AVGO,1024938147840.0,-0.035635536893811826
LLY,784713121792.0,0.0006413752539462525
WMT,761404719104.0,-0.024997431622894917
JPM,738844082176.0,-0.009595193687116144
V,672317898752.0,-0.005592146736537185
MA,508286369792.0,-0.010243607497415708
XOM,480299417600.0,-0.01169640677315864
ORCL,469357854720.0,-0.04653410478071729
COST,459448811520.0,0.00019333924478792675
UNH,429238878208.0,-0.0716531966041557
NFLX,429104431104.0,-0.020877675671914675
PG,399163785216.0,0.01806105431739935
JNJ,390756761600.0,0.016407881363674104
HD,382742757376.0,-0.023667206843658084
ABBV,356741939200.0,0.005973700313987029
BAC,341042659328.0,-0.010816730066711688
KO,306876350464.0,0.018703562842234733
TMUS,302755217408.0,-0.0008665428562131261
CRM,296478572544.0,-0.02710173376036029
CVX,276273364992.0,-0.01177652998459322
WFC,254892851200.0,-0.014371070747669967
CSCO,254530994176.0,-0.010669532182549624
IBM,241776181248.0,-0.012313890489913493
PM,240070377472.0,0.018671151517543283
PLTR,237702217728.0,-0.04629715182423799
ABT,234013343744.0,0.01314109802554686
ACN,227837345792.0,-0.0534767351837212
MRK,226402779136.0,0.020757295717262814
MCD,218432946176.0,0.005807654962940889
LIN,218080378880.0,-0.008443372911925984
GE,214475538432.0,-0.04268469592620183
MS,211625836544.0,-0.019726023289587835
ISRG,211066028032.0,-0.024366567945016904
PEP,210525257728.0,0.029510353563832803
AXP,207527936000.0,-0.02784174245677662
TMO,200910340096.0,-0.009817282652695436
DIS,196434460672.0,-0.017096330506327972
GS,195211591680.0,-0.025939703432208305
NOW,193769472000.0,-0.03054816000419691
ADBE,193412497408.0,-0.022806736593078858
BX,193408925696.0,-0.03367900682875058
T,191083167744.0,0.017973278300550177
